Driven Brands - MSO,,,,,,,,,,,,,,
Parts Status - CarStar,,,,,,,,,,,,,,
As of: Today (5/10/2024),,,,,,,,,,,,,,
Locations: CARSTAR CITY AUTO BODY,,,,,,,,,,,,,,
"Filters: Estimator: All, Insurance Company: All, Vendor: All, Part Type: All, Part Status: All, RO Status: All",,,,,,,,,,,,,,
"Sorted By: Repair Order Information (ASC), Line (ASC)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
      RO Number,      Line,      Part Number,      Part Description,      Part Type,      Vendor Name,      RO Qty,      Ordered Qty,      Ordered Date,      Expected Delivery,      Received Qty,      Invoice Date,      Returned Qty,,
1000,0,5202106130,reinforcement sub,OEM,Simi Valley Toyota - 15678,0,0,,,1,4/28/2023 12:00:00 AM,1,,
1000,2,112980V342,"Emission label 2.5 liter, w/o LE Federal",OEM,Simi Valley Toyota - 15678,1,0,,,1,4/20/2023 12:00:00 AM,0,,
1000,5,5311206260,Lower grille w/o sport mesh,OEM,Simi Valley Toyota - 15678,1,0,,,1,4/20/2023 12:00:00 AM,0,,
1000,6,5211907912,Bumper cover,OEM,Simi Valley Toyota - 15678,1,0,,,1,4/20/2023 12:00:00 AM,0,,
1000,8,TO1068129,License bracket w/o sport mesh lower grille,Aftermarket,Keystone - Complete - Santa Fe Springs - 3,1,1,4/19/2023 10:20:42 AM,4/25/2023 12:00:00 AM,1,4/20/2023 12:00:00 AM,0,,
1000,9,5261106380,Absorber,OEM,Simi Valley Toyota - 15678,1,0,,,1,4/20/2023 12:00:00 AM,0,,
1000,10,5253606190,LT Side support,OEM,Simi Valley Toyota - 15678,1,0,,,1,4/20/2023 12:00:00 AM,0,,
1000,11,5253506190,RT Side support,OEM,Simi Valley Toyota - 15678,1,0,,,1,4/20/2023 12:00:00 AM,0,,
1000,12,5202106130,Impact bar (UHS),LKQ,LIN'S AUTO DISMANTLING - 15678,1,0,,,1,4/27/2023 12:00:00 AM,0,,
1000,13,5720806011,Spacer,OEM,Simi Valley Toyota - 15678,1,0,,,1,4/20/2023 12:00:00 AM,0,,
1000,14,8879006010,Air temp sensor,OEM,Simi Valley Toyota - 15678,1,0,,,1,4/20/2023 12:00:00 AM,0,,
